,date,open,high,low,close,volume,open_count,high_count,low_count,close_count,max_count,date_1d,open_1d,high_1d,low_1d,close_1d,volume_1d,sma200_1d,ichimoku-tenkan_1d,ichimoku-kinjun_1d,ichimoku-spanA_1d,ichimoku-spanB_1d,ichimoku-chiku_1d,close_sup_sma200_1d,date_4h,open_4h,high_4h,low_4h,close_4h,volume_4h,sma200_4h,close_sup_sma200_4h,volume_sma,ichimoku-tenkan,ichimoku-kinjun,ichimoku-spanA,ichimoku-spanB,ichimoku-chiku,ichimoku-spanA-futur,ichimoku-spanB-futur,ichimoku-futur,sma200,atr,stoploss_prices,kinjun_threshold,engulfing,last_candle_under_cloud,custom_sell_signal,custom_exit_signal,adx_range,is_hammer,is_bullish_engulfing,is_strong_bullish_candle,rsi,atr_strength,adx,close_sup_sma200,ichimoku-chiku-free,kinjun_flat,ichimoku-tenkan_sup_kinjun,tenkan_kinjun_increasing,kinjun_proximity,tenkan_proximity,proximity,volume_sup_avg,ml_signal_strength_hammer,ml_signal_strength_engulfing,enter_tag,enter_long,pair,timestamp,entry_type
23005,2024-08-16 13:00:00+00:00,64.77,66.25,64.72,66.24,30029.812,2.0,2.0,2.0,2.0,2.0,2024-08-15 00:00:00+00:00,64.05,66.89,63.59,65.33,572346.5,78.62675000000007,61.025,63.29,68.69749999999999,71.35,61.51,False,2024-08-16 08:00:00+00:00,65.43,65.74,65.25,65.7,63937.155,67.37024999999957,False,23997.2598,65.525,65.315,64.405,63.425,66.24,65.42,64.73,True,62.041799999999874,0.8158654745740533,63.74350726271298,65.249685,True,88,67.05173094914811,69.22466024770644,True,False,True,False,56.87221684958283,1.231680970069525,16.468458067892534,True,True,True,True,False,0.00834417821327416,0.011522319725295835,False,True,0.37393536664975396,0.12619496838074387,engulfing_rebond,1.0,LTC/USDT,2024-08-16 14:00:00+00:00,engulfing_rebond
23478,2024-09-05 06:00:00+00:00,65.27,66.79,64.64,66.71,45680.992,2.0,2.0,2.0,2.0,2.0,2024-09-04 00:00:00+00:00,64.36,66.22,62.02,65.42,425540.638,78.17130000000007,62.725,63.485,61.957499999999996,63.35,66.82,False,2024-09-05 00:00:00+00:00,65.41,67.0,65.11,65.22,108938.539,63.28199999999963,True,17807.321,65.82,65.53999999999999,64.095,64.2,66.71,65.67999999999999,64.51,True,63.969549999999934,0.7644849442574485,64.12847752787128,65.47446,True,12,67.20896988851489,69.01203431523241,True,False,True,False,60.65206062431822,1.14598252774314,12.810582844046637,True,True,True,True,False,0.00411962160512658,0.008356122759039764,False,True,0.36385574508412327,0.11761595991648648,engulfing_rebond,1.0,LTC/USDT,2024-09-05 07:00:00+00:00,engulfing_rebond
23492,2024-09-05 20:00:00+00:00,65.12,66.27,64.96,66.17,51799.362,2.0,2.0,2.0,2.0,2.0,2024-09-04 00:00:00+00:00,64.36,66.22,62.02,65.42,425540.638,78.17130000000007,62.725,63.485,61.957499999999996,63.35,66.82,False,2024-09-05 16:00:00+00:00,65.22,65.89,64.43,65.12,164957.122,63.29664999999963,True,31294.16325,65.35,66.49000000000001,64.635,64.2,66.17,65.92,65.285,True,64.32519999999994,0.8440462605520291,63.87911686972399,66.42351000000001,True,26,67.60809252110406,69.98851832604939,True,False,True,False,53.884626754012075,1.2755724052471349,13.22561707350582,True,True,True,False,False,0.020604602195818986,0.0035195103289975484,False,True,0.35979314032777293,0.120334102827721,engulfing_rebond,1.0,LTC/USDT,2024-09-05 21:00:00+00:00,engulfing_rebond
24950,2024-11-05 14:00:00+00:00,65.48,67.14,65.17,66.59,45866.704,2.0,2.0,2.0,2.0,2.0,2024-11-04 00:00:00+00:00,66.85,67.74,64.45,65.56,368027.479,71.9374500000001,69.41499999999999,69.705,65.9875,65.25999999999999,102.74,False,2024-11-05 08:00:00+00:00,67.04,67.28,66.0,66.0,74143.978,68.73309999999968,False,18782.169749999997,66.205,65.86500000000001,66.685,68.125,66.59,66.035,66.16499999999999,False,69.66869999999989,0.6914136392532321,64.65403318037337,65.799135,True,0,67.54782727850646,69.19530421136356,False,False,True,False,51.60853310769349,1.0383145205785134,22.85606811748668,False,False,True,True,False,0.005845289607530632,0.01095083452911403,False,True,0.0559460477995655,0.11123940553691426,engulfing_rebond,1.0,LTC/USDT,2024-11-05 15:00:00+00:00,engulfing_rebond
28309,2025-03-25 13:00:00+00:00,92.88,94.77,92.83,93.86,56871.791,2.0,2.0,2.0,2.0,2.0,2025-03-24 00:00:00+00:00,91.48,95.6,90.81,93.77,688313.607,95.17160000000004,91.35,107.64,116.615,110.63,76.1,False,2025-03-25 08:00:00+00:00,92.36,93.49,92.29,93.1,67354.661,105.0824999999999,False,20818.1185,93.425,93.75,92.53999999999999,92.28,93.86,93.5875,93.115,True,91.93924999999986,0.88223708921037,91.52458145539482,93.65625,True,35,95.35197417842075,97.2268535572866,True,False,True,False,57.29928061828657,0.9399500204670466,16.305487620171867,True,True,True,False,False,0.009280000000000049,0.005833556328605852,False,True,0.37378980132304623,0.09610780382623217,engulfing_rebond,1.0,LTC/USDT,2025-03-25 14:00:00+00:00,engulfing_rebond
28495,2025-04-02 07:00:00+00:00,81.39,84.75,81.15,81.74,87564.151,2.0,2.0,2.0,2.0,2.0,2025-04-01 00:00:00+00:00,82.98,85.9,82.86,84.48,426671.272,96.20655000000005,88.66,94.925,115.0075,110.63,85.39,False,2025-04-02 04:00:00+00:00,82.9,84.75,81.15,81.74,144218.372,96.42494999999984,False,22138.10845,83.06,83.525,83.505,83.805,81.74,83.2925,83.35,False,88.45249999999996,1.0154029271932365,80.47999853640339,83.44147500000001,True,0,85.38080585438647,87.50793883873283,False,False,True,False,31.997909277261765,1.2422350467252712,21.755262509659495,False,False,False,False,False,0.025561209218796826,0.020105947507825687,False,True,0.02541562280303164,0.08705936871620513,engulfing_rebond,1.0,LTC/USDT,2025-04-02 08:00:00+00:00,engulfing_rebond
28838,2025-04-16 14:00:00+00:00,73.62,75.32,73.59,74.71,24533.639,2.0,2.0,2.0,2.0,2.0,2025-04-15 00:00:00+00:00,77.19,78.72,74.65,75.27,312043.203,96.9629,71.875,79.8,99.14,110.10499999999999,100.12,False,2025-04-16 08:00:00+00:00,75.58,76.28,74.54,75.03,58403.411,84.71339999999978,False,12812.127700000001,74.925,75.91999999999999,77.69749999999999,78.16499999999999,74.71,75.42249999999999,76.49,False,75.56030000000003,0.92789358353677,72.95891320823162,75.84407999999999,True,0,78.34578716707354,80.82096544981337,False,False,True,False,42.11366146468558,1.2419938208228751,25.950407841227342,False,False,True,False,False,0.03029504741833487,0.01741741741741732,False,True,0.050470696780649256,0.12340436406184331,engulfing_rebond,1.0,LTC/USDT,2025-04-16 15:00:00+00:00,engulfing_rebond
30155,2025-06-10 11:00:00+00:00,89.91,91.64,89.54,91.63,33501.606,2.0,2.0,2.0,2.0,2.0,2025-06-09 00:00:00+00:00,87.18,90.81,86.71,90.73,466484.988,101.95684999999995,86.46000000000001,92.445,92.3325,85.065,87.55,False,2025-06-10 08:00:00+00:00,90.18,91.64,89.53,91.63,60725.89,94.66099999999985,False,16061.911750000003,90.58500000000001,89.61500000000001,87.52,87.95,91.63,90.10000000000001,89.11500000000001,True,88.2066000000001,0.8003113262322333,88.95078433688387,89.52538500000001,True,27,91.70062265246447,93.48667637201972,False,False,True,False,66.56941168424332,0.8734162678513951,25.065940258504988,True,True,False,True,True,0.003291859621714975,0.007451564828614134,False,True,0.11854435467316732,0.125659767481599,engulfing_rebond,1.0,LTC/USDT,2025-06-10 12:00:00+00:00,engulfing_rebond
30312,2025-06-17 00:00:00+00:00,86.67,87.7,85.31,87.66,31106.875,2.0,1.0,2.0,2.0,2.0,2025-06-16 00:00:00+00:00,86.3,88.92,85.34,86.67,320777.131,101.70309999999996,87.735,92.12,96.57499999999999,85.065,92.77,False,2025-06-16 20:00:00+00:00,88.82,88.91,86.49,86.67,66493.071,92.17014999999978,False,14657.6103,87.11500000000001,87.11500000000001,85.705,85.53,87.66,87.11500000000001,86.82,True,87.93464999999988,0.879604218411445,84.69957789079427,87.02788500000001,True,27,88.8742084368229,91.23459963760008,False,True,True,False,52.196274462480204,1.003427125726038,23.39284255367724,False,True,False,True,False,0.005108190323136169,0.005108190323136169,False,True,0.058563757259296884,0.11043551948973855,engulfing_rebond,1.0,LTC/USDT,2025-06-17 01:00:00+00:00,engulfing_rebond
31336,2025-07-29 16:00:00+00:00,108.04,109.01,106.74,108.79,51060.054,2.0,2.0,2.0,2.0,2.0,2025-07-28 00:00:00+00:00,114.79,116.41,108.28,109.02,539974.448,97.89059999999992,114.435,103.725,85.3475,91.07,121.45,True,2025-07-29 12:00:00+00:00,109.19,110.54,107.1,108.04,114778.843,97.81299999999965,True,19857.242250000003,108.69,108.935,113.07,113.1,108.79,108.8125,111.57499999999999,False,113.69644999999984,1.3669813304716756,105.84302933476415,108.826065,True,0,114.30896266094334,118.24259177946286,True,True,True,False,43.400729276521965,1.2565321541241616,19.254187512053395,False,False,False,False,False,0.008215908569330297,0.0059803109761706824,False,True,0.03422673942756925,0.10415722601238338,engulfing_rebond,1.0,LTC/USDT,2025-07-29 17:00:00+00:00,engulfing_rebond
